model_name,model_family,fold,train_rows,test_rows,threshold,precision,recall,auc,baseline_profit_factor,baseline_sharpe,baseline_drawdown,baseline_expectancy,baseline_trade_count,baseline_total_return,filtered_profit_factor,filtered_sharpe,filtered_drawdown,filtered_expectancy,filtered_trade_count,filtered_total_return,filtered_take_rate,profit_factor_delta,sharpe_delta,drawdown_delta,expectancy_delta,trade_count_delta
gradient_boosting_fallback,boosted_tree_fallback,1,115,112,0.5,0.18,0.45,0.44483695652173916,0.03795731256985114,-9.786070410491362,1.0000000000000004,-0.2446582370430514,112,-1.0,0.04074778442745298,-6.693110582611137,1.0000000000785172,-0.3040985015527832,50,-0.999999999999593,0.44642857142857145,0.0027904718576018395,3.0929598278802253,7.851674865833047e-11,-0.05944026450973178,-62
gradient_boosting_fallback,boosted_tree_fallback,2,227,112,0.5,0.2857142857142857,0.125,0.38346354166666663,0.05812661224194658,-6.226375897022095,0.9999998663017486,-0.10960213224975408,112,-0.9999999710460896,0.6278438278928097,-0.5939658818356112,0.21753427424493915,-0.012702578809833128,7,-0.09575575849229079,0.0625,0.5697172156508631,5.632410015186483,-0.7824655920568095,0.09689955343992096,-105
gradient_boosting_fallback,boosted_tree_fallback,3,339,112,0.5,0.3333333333333333,0.03333333333333333,0.6327235772357724,0.26099376846457806,-6.262179024343247,0.9868365907277304,-0.03479673741661336,112,-0.9845712742137319,0.9923390070174227,-0.006113506004389857,0.018489465023205247,-0.00016108625954356728,3,-0.0035558437580276436,0.026785714285714284,0.7313452385528447,6.256065518338858,-0.9683471257045252,0.0346356511570698,-109
gradient_boosting_fallback,boosted_tree_fallback,4,451,112,0.5,0.6,0.0967741935483871,0.632616487455197,0.1400789350279584,-6.927842082241062,0.9944910317553427,-0.041300229582466645,112,-0.9930892331716303,2.0233773242383157,0.7501132340455164,0.10433261556694987,0.021779920837169498,5,0.10228529933410391,0.044642857142857144,1.8832983892103574,7.677955316286578,-0.8901584161883929,0.06308015041963615,-107
gradient_boosting_fallback,boosted_tree_fallback,5,563,112,0.55,0.8648648648648649,0.5079365079365079,0.8002915451895043,1.4447605554410092,1.5735539392886149,0.4778095503058303,0.004681109208366697,112,0.5957646902446785,58.49280171430606,10.439519542861252,0.01605546680178964,0.02510907522378011,37,1.4937322626094538,0.33035714285714285,57.048041158865054,8.865965603572636,-0.4617540835040406,0.020427966015413412,-75
logistic_regression,linear,1,115,112,0.8000000000000003,0.6666666666666666,0.1,0.7130434782608696,0.03795731256985114,-9.786070410491362,1.0000000000000004,-0.2446582370430514,112,-1.0,3.1516197087826776,0.965007279650087,0.1220360612227627,0.08752506483636857,3,0.2445238314473741,0.026785714285714284,3.1136623962128263,10.75107769014145,-0.8779639387772378,0.33218330187941997,-109
logistic_regression,linear,2,227,112,0.8000000000000003,0.06557377049180328,0.25,0.37630208333333337,0.05812661224194658,-6.226375897022095,0.9999998663017486,-0.10960213224975408,112,-0.9999999710460896,0.042624495485875144,-10.757823025677808,0.9804695802940256,-0.0593901396673315,61,-0.9776060235522507,0.5446428571428571,-0.015502116756071438,-4.531447128655714,-0.019530286007722997,0.050211992582422586,-51
logistic_regression,linear,3,339,112,0.7500000000000002,0.0625,0.03333333333333333,0.2780487804878049,0.26099376846457806,-6.262179024343247,0.9868365907277304,-0.03479673741661336,112,-0.9845712742137319,0.02209285503498087,-8.673339007014313,0.7445135096923482,-0.08683207279185434,16,-0.7696568820169092,0.14285714285714285,-0.23890091342959718,-2.411159982671066,-0.24232308103538225,-0.05203533537524098,-96
logistic_regression,linear,4,451,112,0.8000000000000003,0.35,0.22580645161290322,0.7431302270011948,0.1400789350279584,-6.927842082241062,0.9944910317553427,-0.041300229582466645,112,-0.9930892331716303,0.17112444901185367,-3.3391149671865588,0.7909988031666974,-0.0639397382575812,20,-0.7546256641452673,0.17857142857142858,0.031045513983895268,3.5887271150545033,-0.20349222858864535,-0.022639508675114557,-92
logistic_regression,linear,5,563,112,0.8000000000000003,1.0,0.6349206349206349,0.7175251052802073,1.4447605554410092,1.5735539392886149,0.4778095503058303,0.004681109208366697,112,0.5957646902446785,5.0,15.275726388046866,0.0,0.034133578933220735,40,2.814633276339606,0.35714285714285715,3.5552394445589908,13.702172448758251,-0.4778095503058303,0.029452469724854036,-72
