pair_id,pair,asset_x,asset_y,exchange,interval,period,strategy_mode,hedge_ratio,hurst,half_life,pearson,spearman,kendall,copula,corr_copula,u1_given_u2,u2_given_u1,sharpe,sortino,returns_total,annual_return,mean_period_return,win_rate,closed_trades,drawdown,var,cvar,var_sim,cvar_sim,x_weighting,ecm_x_available,ecm_y_available,ecm_strength_available,ecm_deviation_override_available,source_url
1,ETH-USD-SOL-USD,ETH-USD,SOL-USD,dydx,5mins,24,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
BNB-USD_LINK-USD,BNB-USD-LINK-USD,BNB-USD,LINK-USD,dydx,5mins,91,static,19.81054438074283,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
aave_uni,AAVE-USD-UNI-USD,AAVE-USD,UNI-USD,dydx,5mins,1000,static,-0.48469082900119675,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
arb_op,ARB-USD-OP-USD,ARB-USD,OP-USD,dydx,5mins,1000,static,-0.3772075480560598,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
bnb_link,BNB-USD-LINK-USD,BNB-USD,LINK-USD,dydx,5mins,12000,static,40.178622198786705,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_avax,BTC-USD-AVAX-USD,BTC-USD,AVAX-USD,dydx,5mins,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth,BTC-USD-ETH-USD,BTC-USD,ETH-USD,dydx,5mins,100,static,18.774939964654074,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth,BTC-USD-ETH-USD,BTC-USD,ETH-USD,dydx,5mins,12000,static,30.961074319876392,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth_binance_spot_1d,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,binance_spot,1d,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth_binance_spot_5m,BTCUSDT-ETHUSDT,BTCUSDT,ETHUSDT,binance_spot,5m,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth_hl,BTC-USD-ETH-USD,BTC-USD,ETH-USD,hyperliquid,5m,289,static,21.912783069447432,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth_hyperliquid_1d,BTC-USD-ETH-USD,BTC-USD,ETH-USD,hyperliquid,1d,501,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_eth_hyperliquid_5m,BTC-USD-ETH-USD,BTC-USD,ETH-USD,hyperliquid,5m,5043,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_link,BTC-USD-LINK-USD,BTC-USD,LINK-USD,dydx,5mins,23999,static,7521.256327627125,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol,BTC-USD-SOL-USD,BTC-USD,SOL-USD,dydx,5mins,100,static,77.22882022294687,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol,BTC-USD-SOL-USD,BTC-USD,SOL-USD,dydx,5mins,12000,static,767.8135015371658,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol_binance_spot_1d,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,binance_spot,1d,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol_binance_spot_5m,BTCUSDT-SOLUSDT,BTCUSDT,SOLUSDT,binance_spot,5m,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol_hyperliquid_1d,BTC-USD-SOL-USD,BTC-USD,SOL-USD,hyperliquid,1d,501,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
btc_sol_hyperliquid_5m,BTC-USD-SOL-USD,BTC-USD,SOL-USD,hyperliquid,5m,5041,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
doge_ltc,DOGE-USD-LTC-USD,DOGE-USD,LTC-USD,dydx,5mins,1000,static,0.001914031940328,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
doge_xrp,DOGE-USD-XRP-USD,DOGE-USD,XRP-USD,dydx,5mins,1000,static,0.07556832935885925,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_avax,ETH-USD-AVAX-USD,ETH-USD,AVAX-USD,dydx,5mins,1000,static,167.4900181084699,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_link,ETH-USD-LINK-USD,ETH-USD,LINK-USD,dydx,5mins,1000,static,231.28418912729623,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_link,ETH-USD-LINK-USD,ETH-USD,LINK-USD,dydx,5mins,23999,static,275.76001633737593,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_mkr,ETH-USD-MKR-USD,ETH-USD,MKR-USD,dydx,5mins,1000,static,0.9144116729708118,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol,ETH-USD-SOL-USD,ETH-USD,SOL-USD,dydx,5mins,99,static,7.026009531509302,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol,ETH-USD-SOL-USD,ETH-USD,SOL-USD,dydx,5mins,12000,static,24.72156161191254,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol_binance_spot_1d,ETHUSDT-SOLUSDT,ETHUSDT,SOLUSDT,binance_spot,1d,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol_binance_spot_5m,ETHUSDT-SOLUSDT,ETHUSDT,SOLUSDT,binance_spot,5m,1000,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol_hyperliquid_1d,ETH-USD-SOL-USD,ETH-USD,SOL-USD,hyperliquid,1d,501,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
eth_sol_hyperliquid_5m,ETH-USD-SOL-USD,ETH-USD,SOL-USD,hyperliquid,5m,5041,static,1.0,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
matic_arb,MATIC-USD-ARB-USD,MATIC-USD,ARB-USD,dydx,5mins,1000,static,5.26931209519293,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
sol_avax,SOL-USD-AVAX-USD,SOL-USD,AVAX-USD,dydx,5mins,1000,static,3.289218118705522,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
sol_link,SOL-USD-LINK-USD,SOL-USD,LINK-USD,dydx,5mins,1000,static,4.867177977241081,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,
