pair,regime,strategy_id,strategy_name,family,runs,eligible_runs,median_profit_factor,median_sharpe,median_max_drawdown,total_trades
BTC-USD-SOL-USD,ALL,24,Regime Filtered Stat-Arb,regime,2,0,0.22565710025873043,-1.777571569679036,0.21139743385412263,52
BTC-USD-SOL-USD,ALL,23,KMeans Regime Model,regime,2,0,0.17126101210718733,-1.6631100395381115,0.20239038053369668,40
BTC-USD-SOL-USD,ALL,21,HMM Regime Model,regime,2,0,0.15861569200622408,-1.669275411821539,0.2031345841247628,40
BTC-USD-SOL-USD,ALL,22,GMM Regime Model,regime,2,0,0.1497108051274159,-1.7162481847773086,0.20530090493920036,38
BTC-USD-SOL-USD,crisis,24,Regime Filtered Stat-Arb,regime,2,0,inf,0.0,0.0,0
BTC-USD-SOL-USD,crisis,21,HMM Regime Model,regime,2,0,0.2576501579923976,-2.0010336867436602,0.1045982707381945,10
BTC-USD-SOL-USD,crisis,23,KMeans Regime Model,regime,2,0,0.23564732231966345,-2.0567122473602,0.10628836230362307,10
BTC-USD-SOL-USD,crisis,22,GMM Regime Model,regime,2,0,0.2173434169779851,-2.5442212708405583,0.12029699320025028,10
BTC-USD-SOL-USD,range,24,Regime Filtered Stat-Arb,regime,2,0,0.17815923737057796,-2.2163227138528647,0.19959550147879193,52
BTC-USD-SOL-USD,range,23,KMeans Regime Model,regime,2,0,0.16874037665424713,-1.8812257900845526,0.17738987659896116,36
BTC-USD-SOL-USD,range,22,GMM Regime Model,regime,2,0,0.1629533283436435,-2.0654018491417703,0.18896625840017311,38
BTC-USD-SOL-USD,range,21,HMM Regime Model,regime,2,0,0.15844320702922368,-2.0115129963652727,0.18729772221613047,40
SOL-USD-LINK-USD,ALL,23,KMeans Regime Model,regime,2,0,0.5298877048230883,-0.4497479581619032,0.046006389011722104,4
SOL-USD-LINK-USD,ALL,21,HMM Regime Model,regime,2,0,0.3326786625173327,-1.229307908228183,0.04617549664175474,4
SOL-USD-LINK-USD,ALL,22,GMM Regime Model,regime,2,0,0.32569905768235735,-1.2846381992799678,0.04600638901172249,4
SOL-USD-LINK-USD,ALL,24,Regime Filtered Stat-Arb,regime,2,0,0.25170259624071734,-1.8591581597048914,0.07305200576100493,8
SOL-USD-LINK-USD,bear,24,Regime Filtered Stat-Arb,regime,2,0,inf,0.0,0.0,0
SOL-USD-LINK-USD,bear,21,HMM Regime Model,regime,2,0,0.0,-4.511011860028805,0.04019205638959703,2
SOL-USD-LINK-USD,bear,22,GMM Regime Model,regime,2,0,0.0,-4.511011860028805,0.04019205638959703,2
SOL-USD-LINK-USD,bear,23,KMeans Regime Model,regime,2,0,0.0,-4.511011860028805,0.04019205638959703,2
SOL-USD-LINK-USD,bull,21,HMM Regime Model,regime,2,0,inf,9.77949566259013,0.008642485587559656,2
SOL-USD-LINK-USD,bull,22,GMM Regime Model,regime,2,0,inf,9.182857656439646,0.00864248558755986,2
SOL-USD-LINK-USD,bull,23,KMeans Regime Model,regime,2,0,inf,6.64077185391332,0.01870318573803087,2
SOL-USD-LINK-USD,bull,24,Regime Filtered Stat-Arb,regime,2,0,0.3118337550513014,-7.173250809961527,0.049141770512717786,6
SOL-USD-LINK-USD,range,22,GMM Regime Model,regime,2,0,inf,0.6134346836180656,0.010386512782371486,2
SOL-USD-LINK-USD,range,21,HMM Regime Model,regime,2,0,0.0,-4.711905292713757,0.04647184585170944,4
SOL-USD-LINK-USD,range,23,KMeans Regime Model,regime,2,0,0.0,-1.7032854840174643,0.036667156539161305,2
SOL-USD-LINK-USD,range,24,Regime Filtered Stat-Arb,regime,2,0,0.0,-1.3418791939591985,0.03716962786776465,4
